referral_id,creation_date,creation_time,status_date,status_time,company_id,partner_id,consultant_id,status,is_outbound,partner_type,lead_sales_contact,country
1352,2021-04-20,08:51:23 PM,2021-04-20,08:51:23 PM,1177,376,518,successful,0,IFA,Leaf,UK
452,2021-01-07,05:53:25 PM,2021-01-07,05:53:25 PM,816,147,207,successful,0,IFA,Leaf,UK
26,2020-09-15,05:04:10 AM,2020-09-15,05:04:10 AM,0,10,17,successful,0,IFA,Apple,Singapore
169,2020-10-21,02:20:15 AM,2020-10-21,02:20:15 AM,608,10,17,successful,0,IFA,Apple,Singapore
1455,2021-05-02,11:14:59 PM,2021-05-02,11:14:59 PM,0,14,26,pending,0,IFA,Apple,Singapore
39,2020-09-17,04:31:35 AM,2020-09-17,04:31:35 AM,468,14,26,successful,0,IFA,Apple,Singapore
40,2020-09-17,04:32:05 AM,2020-09-17,04:32:05 AM,384,14,26,successful,0,IFA,Apple,Singapore
43,2020-09-17,04:35:15 AM,2020-09-17,04:35:15 AM,371,14,26,successful,0,IFA,Apple,Singapore
44,2020-09-17,04:35:30 AM,2020-09-17,04:35:30 AM,374,14,26,successful,0,IFA,Apple,Singapore
45,2020-09-17,04:35:44 AM,2020-09-17,04:35:44 AM,375,14,26,successful,0,IFA,Apple,Singapore
46,2020-09-17,04:35:58 AM,2020-09-17,04:35:58 AM,376,14,26,successful,0,IFA,Apple,Singapore
47,2020-09-17,04:36:13 AM,2020-09-17,04:36:13 AM,372,14,26,successful,0,IFA,Apple,Singapore
74,2020-09-29,01:58:46 AM,2020-09-29,01:58:46 AM,392,14,26,successful,0,IFA,Apple,Singapore
87,2020-10-01,08:06:08 AM,2020-10-01,08:06:08 AM,438,14,26,successful,0,IFA,Apple,Singapore
175,2020-10-22,05:10:55 AM,2020-10-22,05:10:55 AM,369,14,26,successful,0,IFA,Apple,Singapore
373,2020-11-27,03:50:03 AM,2020-11-27,03:50:03 AM,729,14,26,successful,0,IFA,Apple,Singapore
1160,2021-03-29,02:45:37 PM,2021-03-29,02:45:37 PM,0,17,29,pending,0,IFA,Apple,Singapore
